design_no,part_raw,part_clean,image_path,filename
1103,Neck 250,Neck,Jeetubhai Images\OS New folder (11) Images\1103 Neck 250.JPG,1103 Neck 250.JPG
1104,Neck 250,Neck,Jeetubhai Images\OS New folder (11) Images\1104 Neck 250.JPG,1104 Neck 250.JPG
1105,Border 250,Border,Jeetubhai Images\OS New folder (11) Images\1105 Border 250.JPG,1105 Border 250.JPG
1105,Butti 250,Butti,Jeetubhai Images\OS New folder (11) Images\1105 Butti 250.JPG,1105 Butti 250.JPG
1105,Daman 250,Daman,Jeetubhai Images\OS New folder (11) Images\1105 Daman 250.JPG,1105 Daman 250.JPG
1105,Neck Patti 250,Neck Patti,Jeetubhai Images\OS New folder (11) Images\1105 Neck Patti 250.JPG,1105 Neck Patti 250.JPG
1106,Neck 250,Neck,Jeetubhai Images\OS New folder (11) Images\1106 Neck 250.JPG,1106 Neck 250.JPG
1108,Border 250,Border,Jeetubhai Images\OS New folder (11) Images\1108 Border 250.JPG,1108 Border 250.JPG
1108,Daman 250,Daman,Jeetubhai Images\OS New folder (11) Images\1108 Daman 250.JPG,1108 Daman 250.JPG
1108,Neck 400,Neck,Jeetubhai Images\OS New folder (11) Images\1108 Neck 400.JPG,1108 Neck 400.JPG
1109,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1109 CP Border 250.JPG,1109 CP Border 250.JPG
1110,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1110 CP Border 250.JPG,1110 CP Border 250.JPG
1111,Neck 400,Neck,Jeetubhai Images\OS New folder (11) Images\1111 Neck 400.JPG,1111 Neck 400.JPG
1112,Neck 400,Neck,Jeetubhai Images\OS New folder (11) Images\1112 Neck 400.JPG,1112 Neck 400.JPG
1113,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1113 CP Border 250.JPG,1113 CP Border 250.JPG
1113,CP Neck 250,CP Neck,Jeetubhai Images\OS New folder (9) Images\1113 CP Neck 250.JPG,1113 CP Neck 250.JPG
1114,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1114 CP Border 250.JPG,1114 CP Border 250.JPG
1114,Neck 250,Neck,Jeetubhai Images\OS New folder (11) Images\1114 Neck 250.JPG,1114 Neck 250.JPG
1115,Border 250,Border,Jeetubhai Images\OS New folder (11) Images\1115 Border 250.JPG,1115 Border 250.JPG
1115,Neck 400,Neck,Jeetubhai Images\OS New folder (11) Images\1115 Neck 400.JPG,1115 Neck 400.JPG
1116,Border 250,Border,Jeetubhai Images\OS New folder (11) Images\1116 Border 250.JPG,1116 Border 250.JPG
1116,Neck 400,Neck,Jeetubhai Images\OS New folder (11) Images\1116 Neck 400.JPG,1116 Neck 400.JPG
1117,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1117 CP Border 250.JPG,1117 CP Border 250.JPG
1117,CP Neck,CP Neck,Jeetubhai Images\OS New folder (11) Images\1117 CP Neck.JPG,1117 CP Neck.JPG
1118,Neck 450,Neck,Jeetubhai Images\OS New folder (11) Images\1118 Neck 450.JPG,1118 Neck 450.JPG
1119,CP Border 250,CP Border,Jeetubhai Images\OS New folder (11) Images\1119 CP Border 250.JPG,1119 CP Border 250.JPG
