recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R0115,5,9050,kp,,29 Royal,190 Raj,27 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9050 KP 200.JPG,46 pcs,high
R0116,5,9050,kp,,87 Royal,190 Raj,84 Raj,,,,,Jeetubhai Images\OS New folder (9) Images\9050 KP 200.JPG,49 pcs,high
R0117,5,9050,kp,,144 Royal,190 Raj,704 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9050 KP 200.JPG,51 pcs,high
R0118,5,9032,kp,,357 Royal,34 Raj,779 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9032 KP 200.JPG|Jeetubhai Images\OS New folder (9) Images\9032 KP 250.JPG,36 pcs; KP 110 Pcs block,high
R0119,5,9032,kp,,309 Royal,123 Royal,27 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9032 KP 200.JPG|Jeetubhai Images\OS New folder (9) Images\9032 KP 250.JPG,38 pcs,high
R0120,5,9032,kp,,804 Royal,820 Royal,735 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9032 KP 200.JPG|Jeetubhai Images\OS New folder (9) Images\9032 KP 250.JPG,36 pcs,high
R0124,5,1192,neck+border,,BCH Jari,1375 Royal,32 N Royal,,,,n1=BCH Jari,Jeetubhai Images\OS New folder (11) Images\1192 Neck 400.JPG,,high
R0125,5,1192,neck+border,,BCH Jari,710 D Royal,709 Raj,,,,n1=BCH Jari,Jeetubhai Images\OS New folder (11) Images\1192 Neck 400.JPG,,high
R0126,5,1192,neck+border,,BCH Jari,34 Royal,34 S Royal,,,,n1=BCH Jari,Jeetubhai Images\OS New folder (11) Images\1192 Neck 400.JPG,,high
R0237,10,5082,kp,,9 Royal,126 Raj,,,,,,Jeetubhai Images\OS New folder (5) Images\5082 Kurta patti 400.BMP,,high
R0238,10,5082,kp,,126 Raj,8 D Royal,,,,,,Jeetubhai Images\OS New folder (5) Images\5082 Kurta patti 400.BMP,,high
R0239,10,5082,kp,,842 Royal,8 D Royal,,,,,,Jeetubhai Images\OS New folder (5) Images\5082 Kurta patti 400.BMP,,high
R0305,12,1189,neck,,763 Royal,709 Raj,311 Jari,710 D Royal,,,n3=311 Jari,Jeetubhai Images\OS New folder (11) Images\1189 Neck 400.JPG,,high
R0306,12,1189,neck,,79 Raj,119 D Royal,311 Jari,90 ND Royal,,,n3=311 Jari,Jeetubhai Images\OS New folder (11) Images\1189 Neck 400.JPG,,high
R0317,13,9075,cp,,319 Royal,110 D Royal,86 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9075 Border 250.JPG|Jeetubhai Images\OS New folder (9) Images\9075 Neck 250.JPG,,high
R0318,13,1182,neck,,732 Royal,315 Royal,727 Royal,,,,,Jeetubhai Images\OS New folder (11) Images\1182 Neck 250.JPG,,high
R0320,13,1182,neck,,842 Royal,315 Royal,710 Royal,,,,,Jeetubhai Images\OS New folder (11) Images\1182 Neck 250.JPG,,high
R0328,13,1185,neck,,124 Royal,32 S Royal,786 Royal,,,,,Jeetubhai Images\OS New folder (11) Images\1185 Neck 250.JPG,,high
R0333,13,1187,neck,,775 L Royal,32 N Royal,734 Royal,,,,,Jeetubhai Images\OS New folder (11) Images\1187 Neck 250.JPG,,high
