source_page,design_no,reason,raw_hint
6,9084,,"OS-9084 Neck 70x3=210 Pcs - header only, no needle colour rows"
19,1145,"header only, no needle rows",OS-1145 Neck 40x6=270 Pcs
19,8054,"header only, no needle rows",OS-8054 Neck 20x6=120 Pcs
21,9074,"header only, no needle rows",OS-9074 LP 124 Pcs
23,1104,"header only, no needle rows",OS-1104 Neck 30x4=120 Pcs
47,7016,,os-7016 Neck Small 30x4=120 Pcs (struck through header only)
57,7011,,os-7011 Neck 80x3=240 Pcs (header only; recipes under 6017)
61,8058,header only — no needle rows under this design,OS 8058 KP 185 Pcs
63,6006,header only — does not share 6096 recipes,OS-6006 KP 384 Pcs
63,8098,header only — no needle rows,OS-8098 Neck 70x4=280 Pcs
63,9000,"header only — cloth qtys, no needle rows",Yellow-77 Pink-77 Rama-91 Green-85
64,6045,header only with arrow — no recipe rows,OS-6045 KP
64,6081,header only with arrow — no recipe rows,OS-6081 Neck 50x3=150
65,6090,header only — no recipe rows,OS-6090 KP
67,6087,not a colour recipe — machine/frame line only,A60 Classic Plus Border 14 Head
68,7041,machine/frame codes not thread recipe,5021 V Plus / 49 N Raj Self
