recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R0001,1,1237,neck+astin border,lemon,741 Raj,125 LR Royal,103 Royal,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1237 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1237 Neck 400.JPG,53 pcs,high
R0002,1,1237,neck+astin border,orange,LMLL Royal,1302 Royal,104 NL Royal,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1237 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1237 Neck 400.JPG,44 pcs,high
R0003,1,1237,neck+astin border,firozi,,840 L Royal,722 Royal,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1237 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1237 Neck 400.JPG,49 pcs,medium
R0004,1,1239,neck+big border+small border,black,119 L Royal,235 Royal,8 Royal,105 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,42 pcs,high
R0005,1,1239,neck+big border+small border,green,125 R Royal,119 L Royal,105 Royal,8 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,43 pcs,high
R0006,1,1239,neck+big border+small border,blue,235 Royal,8 Royal,119 L Royal,105 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,43 pcs,high
R0007,1,1239,neck+big border+small border,red,105 Royal,125 R Royal,235 Royal,119 L Royal,,,,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,44 pcs,high
R0008,1,1239,neck+big border+small border,yellow,125 R Royal,119 L Royal,235 Royal,8 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1239 Astin Border.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1239 Neck 400.JPG,43 pcs,high
R0009,1,1240,neck+border,peach,93 N Raj,190 Raj,364 Raj,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1240 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1240 Neck 400.JPG,,high
R0010,1,1240,neck+border,blue,85 Royal,190 Raj,87 Royal,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1240 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1240 Neck 400.JPG,,high
R0011,1,1240,neck+border,pink,26 Royal,190 Raj,766 Royal,VW Jari,,,n4=VW Jari,Jeetubhai Images\OS New folder (12) Images\1240 Border 200.JPG|Jeetubhai Images\OS New folder (12) Images\1240 Neck 400.JPG,,high
R0012,1,1241,neck,pink,103 L Royal,727 Royal,67 Royal,739 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1241 Neck 400.JPG,32 pcs,high
R0013,1,1241,neck,rust,341 Royal,728 D Royal,731-L Royal,739 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1241 Neck 400.JPG,78 pcs,high
R0014,1,1241,neck,rama,308 Royal,27 Royal,75 Royal,739 Royal,,,,Jeetubhai Images\OS New folder (12) Images\1241 Neck 400.JPG,81 pcs,high
R0015,2,9059,cp,yellow,727 S Royal,190 Raj,782 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9059 Border CP 250.JPG|Jeetubhai Images\OS New folder (9) Images\9059 Neck CP 250.JPG,cream noted in header,high
R0016,2,9059,cp,firozi,727 Royal,190 Raj,86 Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9059 Border CP 250.JPG|Jeetubhai Images\OS New folder (9) Images\9059 Neck CP 250.JPG,,high
R0017,2,9059,cp,purple,124 Royal,190 Raj,14 N Royal,,,,,Jeetubhai Images\OS New folder (9) Images\9059 Border CP 250.JPG|Jeetubhai Images\OS New folder (9) Images\9059 Neck CP 250.JPG,,high
R0018,2,3073,cp,purple,847 Royal,190 Raj,308 Royal,,,,,Jeetubhai Images\OS New folder (3) images\3073 Neck.BMP,53 pcs,high
R0019,2,3073,cp,firozi,78 Royal,190 Raj,73 N Raj,,,,,Jeetubhai Images\OS New folder (3) images\3073 Neck.BMP,55 pcs,high
R0020,2,3073,cp,pink,65 N Royal,190 Raj,305 Royal,,,,,Jeetubhai Images\OS New folder (3) images\3073 Neck.BMP,51 pcs,high
